filename,label
00000.png,1
00001.png,0
00002.png,1
00003.png,0
00004.png,1
00005.png,0
00006.png,1
00007.png,0
00008.png,1
00009.png,0
00010.png,1
00011.png,0
00012.png,1
00013.png,0
00014.png,1
00015.png,0
00016.png,1
00017.png,0
00018.png,1
00019.png,0
00020.png,1
00021.png,0
00022.png,1
00023.png,0
00024.png,1
00025.png,0
00026.png,1
00027.png,0
00028.png,1
00029.png,0
00030.png,1
00031.png,0
00032.png,1
00033.png,0
00034.png,1
00035.png,0
00036.png,1
00037.png,0
00038.png,1
00039.png,0
00040.png,1
00041.png,0
00042.png,1
00043.png,0
00044.png,1
00045.png,0
00046.png,1
00047.png,0
00048.png,1
00049.png,0
00050.png,1
00051.png,0
00052.png,1
00053.png,0
00054.png,1
00055.png,0
00056.png,1
00057.png,0
00058.png,1
00059.png,0
00060.png,1
00061.png,0
00062.png,1
00063.png,0
00064.png,1
00065.png,0
00066.png,1
00067.png,0
00068.png,1
00069.png,0
00070.png,1
00071.png,0
00072.png,1
00073.png,0
00074.png,1
00075.png,0
00076.png,1
00077.png,0
00078.png,1
00079.png,0
00080.png,1
00081.png,0
00082.png,1
00083.png,0
00084.png,1
00085.png,0
00086.png,1
00087.png,0
00088.png,1
00089.png,0
00090.png,1
00091.png,0
00092.png,1
00093.png,0
00094.png,1
00095.png,0
00096.png,1
00097.png,0
00098.png,1
00099.png,0
00100.png,1
00101.png,0
00102.png,1
00103.png,0
00104.png,1
00105.png,0
00106.png,1
00107.png,0
00108.png,1
00109.png,0
00110.png,1
00111.png,0
00112.png,1
00113.png,0
00114.png,1
00115.png,0
00116.png,1
00117.png,0
00118.png,1
00119.png,0
00120.png,1
00121.png,0
00122.png,1
00123.png,0
00124.png,1
00125.png,0
00126.png,1
00127.png,0
00128.png,1
00129.png,0
00130.png,1
00131.png,0
00132.png,1
00133.png,0
00134.png,1
00135.png,0
00136.png,1
00137.png,0
00138.png,1
00139.png,0
00140.png,1
00141.png,0
00142.png,1
00143.png,0
00144.png,1
00145.png,0
00146.png,1
00147.png,0
00148.png,1
00149.png,0
00150.png,1
00151.png,0
00152.png,1
00153.png,0
00154.png,1
00155.png,0
00156.png,1
00157.png,0
00158.png,1
00159.png,0
00160.png,1
00161.png,0
00162.png,1
00163.png,0
00164.png,1
00165.png,0
00166.png,1
00167.png,0
00168.png,1
00169.png,0
00170.png,1
00171.png,0
00172.png,1
00173.png,0
00174.png,1
00175.png,0
00176.png,1
00177.png,0
00178.png,1
00179.png,0
00180.png,1
00181.png,0
00182.png,1
00183.png,0
00184.png,1
00185.png,0
00186.png,1
00187.png,0
00188.png,1
00189.png,0
00190.png,1
00191.png,0
00192.png,1
00193.png,0
00194.png,1
00195.png,0
00196.png,1
00197.png,0
00198.png,1
00199.png,0
00200.png,1
00201.png,0
00202.png,1
00203.png,0
00204.png,1
00205.png,0
00206.png,1
00207.png,0
00208.png,1
00209.png,0
00210.png,1
00211.png,0
00212.png,1
00213.png,0
00214.png,1
00215.png,0
00216.png,1
00217.png,0
00218.png,1
00219.png,0
00220.png,1
00221.png,0
00222.png,1
00223.png,0
00224.png,1
00225.png,0
00226.png,1
00227.png,0
00228.png,1
00229.png,0
00230.png,1
00231.png,0
00232.png,1
00233.png,0
00234.png,1
00235.png,0
00236.png,1
00237.png,0
00238.png,1
00239.png,0
00240.png,1
00241.png,0
00242.png,1
00243.png,0
00244.png,1
00245.png,0
00246.png,1
00247.png,0
00248.png,1
00249.png,0
00250.png,1
00251.png,0
00252.png,1
00253.png,0
00254.png,1
00255.png,0
00256.png,1
00257.png,0
00258.png,1
00259.png,0
00260.png,1
00261.png,0
00262.png,1
00263.png,0
00264.png,1
00265.png,0
00266.png,1
00267.png,0
00268.png,1
00269.png,0
00270.png,1
00271.png,0
00272.png,1
00273.png,0
00274.png,1
00275.png,0
00276.png,1
00277.png,0
00278.png,1
00279.png,0
00280.png,1
00281.png,0
00282.png,1
00283.png,0
00284.png,1
00285.png,0
00286.png,1
00287.png,0
